Region_ID,Name,Vertex_Count,Center_X,Center_Y,Center_Z,Extent_X,Extent_Y,Extent_Z,Approx_Area_mm2
130,Left Region 130,20,35.938880348205565,11.308533358573914,27.398782825469972,4.6216278076171875,7.82893705368042,7.303030014038086,2.0
131,Left Region 131,18,42.38865746392144,18.94417323006524,37.90002038743761,6.838237762451172,11.41450023651123,8.466346740722656,1.8
132,Left Region 132,27,38.31200889304832,5.751805950094153,32.74072767187048,7.254665374755859,9.277375936508179,12.066537857055664,2.7
133,Left Region 133,22,32.98257888447154,12.56072928688743,54.33856634660201,12.183794021606445,13.04626750946045,12.082550048828125,2.2
134,Left Region 134,25,42.15413635253906,6.728480424880981,51.026739349365236,10.6070556640625,10.948978185653687,14.816722869873047,2.5
135,Left Region 135,14,40.34280041285923,7.896960428782871,41.43804822649275,5.076129913330078,8.296407222747803,6.702556610107422,1.4000000000000001
136,Left Region 136,20,26.693345832824708,-1.070853944029659,50.7843297958374,10.558998107910156,6.305469274520874,6.5926666259765625,2.0
137,Left Region 137,9,28.879567464192707,5.004792001512316,54.34054268731011,7.442928314208984,4.5732011795043945,8.20291519165039,0.9
138,Left Region 138,84,40.27697835649763,-1.8862583078111388,10.155536180450802,14.00882339477539,16.55087375640869,17.02675175666809,8.4
139,Left Region 139,7,51.46593965802874,7.103396279471261,12.085699762616839,3.7575950622558594,2.336301326751709,7.079663276672363,0.7000000000000001
140,Left Region 140,26,56.542443348811226,6.310659188490647,3.0442720875144005,8.875587463378906,11.394147157669067,10.984636306762695,2.6
141,Left Region 141,30,55.54963124593099,-4.382653863231341,6.75152280330658,13.752925872802734,13.361385345458984,9.390116691589355,3.0
142,Left Region 142,16,62.70106363296509,2.2678832225501537,15.583266854286194,2.852153778076172,9.819956064224243,13.1553373336792,1.6
143,Left Region 143,13,57.3273931650015,7.470216090862568,14.769598960876465,7.563648223876953,2.771449089050293,10.334699630737305,1.3
144,Left Region 144,20,48.89712696075439,6.515260887145996,22.155116176605226,14.335285186767578,3.0964183807373047,8.079572677612305,2.0
145,Left Region 145,14,45.5825685773577,6.705702679497855,29.140131950378418,10.746387481689453,5.206905364990234,8.469377517700195,1.4000000000000001
146,Left Region 146,20,59.007049560546875,6.6168452553451065,30.105295276641847,9.575599670410156,10.545445665717125,12.953182220458984,2.0
147,Left Region 147,16,58.38086795806885,-3.7553231846541166,23.368770599365234,8.1126708984375,10.907764196395874,12.082757949829102,1.6
148,Left Region 148,19,49.29568260594418,-8.815768768912868,29.450050554777448,9.878890991210938,7.680327892303467,5.796567916870117,1.9000000000000001
149,Left Region 149,18,56.571169747246635,0.44672931399610305,38.61899990505643,9.22945785522461,7.120748519897461,11.410003662109375,1.8
150,Left Region 150,16,46.68170404434204,2.172988139092922,36.48500657081604,9.185062408447266,3.113084316253662,8.837322235107422,1.6
151,Left Region 151,20,40.29043827056885,-1.6395052619278432,48.31960506439209,11.87192153930664,6.1825103759765625,8.277584075927734,2.0
